"","Sector","Metric","Value","Date_Range","Sector_Metric","Color"
"1","Financial","beta",0.914471918337327,"Range 1","Financial.beta","#1F78B499"
"2","Financial","alpha",-0.0671271042475191,"Range 1","Financial.alpha","#1F78B499"
"3","Financial","volatility",23.7470186241389,"Range 1","Financial.volatility","#1F78B499"
"4","Financial","drawdown",6.90721036675978,"Range 1","Financial.drawdown","#1F78B499"
"5","Healthcare","beta",0.801694782625879,"Range 1","Healthcare.beta","#33A02C99"
"6","Healthcare","alpha",-0.15861705015259,"Range 1","Healthcare.alpha","#33A02C99"
"7","Healthcare","volatility",18.8246299843703,"Range 1","Healthcare.volatility","#33A02C99"
"8","Healthcare","drawdown",6.75110861919568,"Range 1","Healthcare.drawdown","#33A02C99"
"9","Industrial","beta",0.954973710617207,"Range 1","Industrial.beta","#E31A1C99"
"10","Industrial","alpha",-0.0358987764634599,"Range 1","Industrial.alpha","#E31A1C99"
"11","Industrial","volatility",22.1950072347267,"Range 1","Industrial.volatility","#E31A1C99"
"12","Industrial","drawdown",8.20242304793924,"Range 1","Industrial.drawdown","#E31A1C99"
"13","Tech","beta",1.12840342670163,"Range 1","Tech.beta","#6A3D9A99"
"14","Tech","alpha",0.102410161262113,"Range 1","Tech.alpha","#6A3D9A99"
"15","Tech","volatility",24.5931612188535,"Range 1","Tech.volatility","#6A3D9A99"
"16","Tech","drawdown",8.27817491836554,"Range 1","Tech.drawdown","#6A3D9A99"
"17","Financial","beta",2.04991505232713,"Range 2","Financial.beta","#1F78B4"
"18","Financial","alpha",0.924653011192957,"Range 2","Financial.alpha","#1F78B4"
"19","Financial","volatility",38.1637578649824,"Range 2","Financial.volatility","#1F78B4"
"20","Financial","drawdown",15.5162548764629,"Range 2","Financial.drawdown","#1F78B4"
"21","Healthcare","beta",0.368290876440614,"Range 2","Healthcare.beta","#33A02C"
"22","Healthcare","alpha",-0.555312168977226,"Range 2","Healthcare.alpha","#33A02C"
"23","Healthcare","volatility",9.73386878352809,"Range 2","Healthcare.volatility","#33A02C"
"24","Healthcare","drawdown",3.02977667493796,"Range 2","Healthcare.drawdown","#33A02C"
"25","Industrial","beta",1.1328729841814,"Range 2","Industrial.beta","#E31A1C"
"26","Industrial","alpha",0.118316597071894,"Range 2","Industrial.alpha","#E31A1C"
"27","Industrial","volatility",18.9930393735167,"Range 2","Industrial.volatility","#E31A1C"
"28","Industrial","drawdown",11.1358397583658,"Range 2","Industrial.drawdown","#E31A1C"
"29","Tech","beta",0.823423283919495,"Range 2","Tech.beta","#6A3D9A"
"30","Tech","alpha",-0.15493558035011,"Range 2","Tech.alpha","#6A3D9A"
"31","Tech","volatility",16.9589462662287,"Range 2","Tech.volatility","#6A3D9A"
"32","Tech","drawdown",5.78133333333334,"Range 2","Tech.drawdown","#6A3D9A"
